nome;uf;cod_tse;cod_ibge
ABADIA DE GOIÁS;GO;93360;5200050
ABADIA DOS DOURADOS;MG;40010;3100104
ABADIÂNIA;GO;92010;5200100
ABAETETUBA;PA;4014;1500107
ABAETÉ;MG;40037;3100203
ABAIARA;CE;13013;2300101
ABARÉ;BA;33030;2900207
ABATIÁ;PR;74012;4100103
ABAÍRA;BA;33014;2900108
ABDON BATISTA;SC;80225;4200051
ABEL FIGUEIREDO;PA;4502;1500131
ABELARDO LUZ;SC;80012;4200101
ABRE CAMPO;MG;40053;3100302
ABREU E LIMA;PE;26310;2600054
ABREULÂNDIA;TO;73008;1700251
ACAIACA;MG;40070;3100401
ACAJUTIBA;BA;33057;2900306
ACARAPE;CE;13145;2300150
ACARAÚ;CE;13030;2300200
ACARI;RN;16012;2400109
ACARÁ;PA;4030;1500206
ACAUÃ;PI;12327;2200053
ACEGUÁ;RS;88986;4300034
ACOPIARA;CE;13056;2300309
ACORIZAL;MT;90018;5100102
ACRELÂNDIA;AC;1120;1200013
ACREÚNA;GO;96458;5200134
ADAMANTINA;SP;61018;3500105
ADELÂNDIA;GO;96911;5200159
ADOLFO;SP;61034;3500204
ADRIANÓPOLIS;PR;74039;4100202
ADUSTINA;BA;33065;2900355
AFOGADOS DA INGAZEIRA;PE;23019;2600104
AFONSO BEZERRA;RN;16055;2400307
AFONSO CLÁUDIO;ES;56014;3200102
AFONSO CUNHA;MA;7013;2100105
AFRÂNIO;PE;23035;2600203
AFUÁ;PA;4057;1500305
AGRESTINA;PE;23051;2600302
AGRICOLÂNDIA;PI;10014;2200103
AGROLÂNDIA;SC;80039;4200200
AGRONÔMICA;SC;80055;4200309
AGUANIL;MG;40150;3100807
AGUAÍ;SP;61050;3500303
AGUDOS DO SUL;PR;74055;4100301
AGUDOS;SP;61131;3500709
AGUDO;RS;85014;4300109
AGUIARNÓPOLIS;TO;73512;1700301
AGUIAR;PB;19038;2500205
AIMORÉS;MG;40215;3101102
AIQUARA;BA;33111;2900603
AIUABA;CE;13072;2300408
AIURUOCA;MG;40231;3101201
AJURICABA;RS;85030;4300208
ALAGOA GRANDE;PB;19054;2500304
ALAGOA NOVA;PB;19070;2500403
ALAGOA;MG;40258;3101300
ALAGOINHA DO PIAUÍ;PI;12319;2200251
ALAGOINHAS;BA;33138;2900702
ALAGOINHA;PB;19097;2500502
ALAGOINHA;PE;23116;2600609
ALAMBARI;SP;61581;3500758
ALBERTINA;MG;40274;3101409
ALCANTIL;PB;19763;2500536
ALCINÓPOLIS;MS;55018;5000252
ALCOBAÇA;BA;33154;2900801
ALCÂNTARAS;CE;13099;2300507
ALCÂNTARA;MA;7030;2100204
ALDEIAS ALTAS;MA;7056;2100303
